No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
1,url,malware,mal_url,active,http://landing.kofacins.com/pack/,high,gov,57,2021-03-16,FPT Telecom Company,71,100
1,url,phish,phish_url,active,https://dongnammedia.com.vn/wp-content/plugins/ds/prepaid.bankofamerica.com/prepaid.bankofamerica.com/eddcard/Verify/signinpassword.html,very-high,finance,71,2021-03-21,Long Van System Solution JSC,88,60
2,url,phish,phish_url,active,http://dongnammedia.com.vn/wp-content/plugins/ds/prepaid.bankofamerica.com/prepaid.bankofamerica.com/eddcard/Verify,very-high,finance,71,2021-03-21,Long Van System Solution JSC,88,60
3,ip,scan,scan_ip,active,171.235.198.150,high,gov,34,2021-03-21,Viettel Group,97,70
4,ip,scan,scan_ip,active,14.178.217.232,medium,gov,25,2021-03-21,Vietnam Posts And Telecommunications Group,70,50
5,ip,scan,scan_ip,active,14.179.74.160,medium,gov,33,2021-03-21,Vietnam Posts And Telecommunications Group,94,50
6,ip,scan,scan_ip,active,123.30.96.254,high,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),46,70
7,ip,scan,scan_ip,active,123.18.166.75,high,gov,32,2021-03-21,Vietnam Posts and Telecommunications(VNPT),90,70
8,ip,scan,scan_ip,active,116.97.243.34,high,gov,30,2021-03-21,Viettel Group,85,70
9,ip,scan,scan_ip,active,103.125.189.133,high,gov,35,2021-03-21,,98,70
10,ip,scan,scan_ip,active,103.124.94.33,high,gov,25,2021-03-21,,71,70
11,ip,scan,scan_ip,active,171.242.24.201,high,gov,34,2021-03-21,Viettel Group,97,70
12,ip,scan,scan_ip,active,103.155.82.111,high,gov,35,2021-03-21,,100,70
13,ip,scan,scan_ip,active,14.189.252.202,high,gov,27,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,70
14,ip,scan,scan_ip,active,14.166.47.196,high,gov,35,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,70
15,ip,scan,scan_ip,active,14.241.64.93,high,gov,35,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,70
16,ip,scan,scan_ip,active,113.161.93.142,high,gov,32,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,70
17,ip,scan,scan_ip,active,113.161.32.237,high,gov,35,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,70
18,url,malware,mal_url,active,http://115.76.91.23:61967/.i,low,gov,36,2021-03-21,Viettel Group,44,75
19,url,phish,phish_url,active,https://dongnammedia.com.vn/wp-content/plugins/ds/prepaid.bankofamerica.com/prepaid.bankofamerica.com/eddcard/Verify/signinpassword.html,high,finance,48,2021-03-21,Long Van System Solution JSC,60,40
20,url,phish,phish_url,active,http://dongnammedia.com.vn/wp-content/plugins/ds/prepaid.bankofamerica.com/prepaid.bankofamerica.com/eddcard/Verify,high,finance,49,2021-03-21,Long Van System Solution JSC,61,43
21,ip,spam,spam_ip,active,42.119.159.163,low,gov,25,2021-03-21,FPT Telecom Company,99,60
22,ip,spam,spam_ip,active,123.24.47.217,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
23,ip,spam,spam_ip,active,123.18.124.142,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
24,ip,spam,spam_ip,active,117.4.247.233,low,gov,17,2021-03-21,Viettel Group,68,60
25,ip,spam,spam_ip,active,14.182.98.142,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
26,ip,spam,spam_ip,active,1.55.250.3,low,gov,25,2021-03-21,FPT Telecom Company,99,60
27,ip,spam,spam_ip,active,113.170.233.153,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
28,ip,spam,spam_ip,active,171.229.142.127,low,gov,25,2021-03-21,Viettel Group,97,60
29,ip,spam,spam_ip,active,171.225.132.172,low,gov,25,2021-03-21,Viettel Group,100,60
30,ip,spam,spam_ip,active,14.180.202.89,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,94,60
31,ip,spam,spam_ip,active,113.167.14.221,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
32,ip,spam,spam_ip,active,171.241.117.87,low,gov,25,2021-03-21,Viettel Group,97,60
33,ip,spam,spam_ip,active,1.54.252.110,low,gov,25,2021-03-21,FPT Telecom Company,98,60
34,ip,spam,spam_ip,active,103.199.36.85,low,gov,18,2021-03-21,MOBIFONE Corporation,72,60
35,ip,spam,spam_ip,active,171.224.179.211,low,gov,23,2021-03-21,Viettel Group,91,60
36,ip,spam,spam_ip,active,14.169.7.26,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
37,ip,spam,spam_ip,active,116.109.69.74,low,gov,24,2021-03-21,Viettel Corporation,95,60
38,ip,spam,spam_ip,active,42.113.183.180,low,gov,25,2021-03-21,FPT Telecom Company,98,60
39,ip,spam,spam_ip,active,42.114.142.187,low,gov,25,2021-03-21,FPT Telecom Company,99,60
40,ip,spam,spam_ip,active,171.247.240.156,low,gov,22,2021-03-21,Viettel Group,85,60
41,ip,spam,spam_ip,active,14.232.54.162,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
42,ip,spam,spam_ip,active,14.228.188.202,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
43,ip,spam,spam_ip,active,42.114.121.244,low,gov,25,2021-03-21,FPT Telecom Company,99,60
44,ip,spam,spam_ip,active,14.243.26.140,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
45,ip,spam,spam_ip,active,1.52.172.40,low,gov,25,2021-03-21,FPT Telecom Company,99,60
46,ip,spam,spam_ip,active,42.119.10.9,low,gov,25,2021-03-21,FPT Telecom Company,99,60
47,ip,spam,spam_ip,active,118.71.115.85,low,gov,25,2021-03-21,FPT Telecom Company,99,60
48,ip,spam,spam_ip,active,14.170.120.204,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
49,ip,spam,spam_ip,active,1.53.12.105,low,gov,25,2021-03-21,FPT Telecom Company,99,60
50,ip,spam,spam_ip,active,171.254.227.144,low,gov,22,2021-03-21,Viettel Group,87,60
51,ip,spam,spam_ip,active,115.73.223.180,low,gov,22,2021-03-21,Viettel Group,87,60
52,ip,spam,spam_ip,active,42.118.115.209,low,gov,25,2021-03-21,FPT Telecom Company,99,60
53,ip,spam,spam_ip,active,113.188.87.151,low,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),66,60
54,ip,spam,spam_ip,active,14.162.158.254,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
55,ip,spam,spam_ip,active,14.248.126.15,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
56,ip,spam,spam_ip,active,113.174.119.241,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
57,ip,spam,spam_ip,active,14.162.209.62,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
58,ip,spam,spam_ip,active,14.232.34.15,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
59,ip,spam,spam_ip,active,171.242.28.179,low,gov,24,2021-03-21,Viettel Group,95,60
60,ip,spam,spam_ip,active,117.1.193.191,low,gov,25,2021-03-21,Viettel Group,97,60
61,ip,spam,spam_ip,active,14.232.234.113,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
62,ip,spam,spam_ip,active,14.190.119.116,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
63,ip,spam,spam_ip,active,27.76.109.61,low,gov,25,2021-03-21,Viettel Group,97,60
64,ip,spam,spam_ip,active,116.102.47.6,low,gov,25,2021-03-21,Viettel Corporation,100,60
65,ip,spam,spam_ip,active,58.186.197.154,low,gov,25,2021-03-21,FPT Telecom Company,99,60
66,ip,spam,spam_ip,active,115.73.4.94,low,gov,22,2021-03-21,Viettel Group,87,60
67,ip,spam,spam_ip,active,27.76.220.6,low,gov,25,2021-03-21,Viettel Group,100,60
68,ip,spam,spam_ip,active,113.183.41.245,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
69,ip,spam,spam_ip,active,123.24.66.224,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
70,ip,spam,spam_ip,active,14.184.163.145,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),83,60
71,ip,spam,spam_ip,active,103.249.23.23,low,gov,18,2021-03-21,,72,60
72,ip,spam,spam_ip,active,117.7.146.131,low,gov,24,2021-03-21,Viettel Group,95,60
73,ip,spam,spam_ip,active,113.179.186.200,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
74,ip,spam,spam_ip,active,222.252.83.205,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
75,ip,spam,spam_ip,active,183.80.85.76,low,gov,25,2021-03-21,FPT Telecom,100,60
76,ip,spam,spam_ip,active,14.252.176.68,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,95,60
77,ip,spam,spam_ip,active,123.21.191.131,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
78,ip,spam,spam_ip,active,123.21.142.251,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
79,ip,spam,spam_ip,active,171.247.202.137,low,gov,23,2021-03-21,Viettel Group,91,60
80,ip,spam,spam_ip,active,171.232.23.109,low,gov,24,2021-03-21,Viettel Group,96,60
81,ip,spam,spam_ip,active,171.234.98.198,low,gov,25,2021-03-21,Viettel Group,97,60
82,ip,spam,spam_ip,active,113.163.167.234,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
